DATE,VMT
01/03/2005,2974451
01/04/2005,2974343
01/05/2005,2979786
01/06/2005,2986219
01/07/2005,2987275
01/08/2005,2989762
01/09/2005,2988487
01/10/2005,2985410
01/11/2005,2988670
01/12/2005,2989428
01/01/2006,2998638
01/02/2006,2999379
01/03/2006,3002820
01/04/2006,3002604
01/05/2006,3003296
01/06/2006,3003262
01/07/2006,2999658
01/08/2006,2999541
01/09/2006,3002906
01/10/2006,3009426
01/11/2006,3011716
01/12/2006,3014116
01/01/2007,3014455
01/02/2007,3012976
01/03/2007,3015991
01/04/2007,3017942
01/05/2007,3022146
01/06/2007,3023738
01/07/2007,3027423
01/08/2007,3033442
01/09/2007,3033802
01/10/2007,3037286
01/11/2007,3037727
01/12/2007,3029821
01/01/2008,3029120
01/02/2008,3031224
01/03/2008,3023929
01/04/2008,3023422
01/05/2008,3017314
01/06/2008,3009424
01/07/2008,3003918
01/08/2008,2993302
01/09/2008,2986944
01/10/2008,2981369
01/11/2008,2972047
01/12/2008,2973508
01/01/2009,2966117
01/02/2009,2962424
01/03/2009,2959822
01/04/2009,2959108
01/05/2009,2955918
01/06/2009,2956829
01/07/2009,2959701
01/08/2009,2959389
01/09/2009,2961752
01/10/2009,2958113
01/11/2009,2958912
01/12/2009,2956763
01/01/2010,2952073
01/02/2010,2945065
01/03/2010,2949562
01/04/2010,2952124
01/05/2010,2950775
01/06/2010,2952463
01/07/2010,2953306
01/08/2010,2956846
01/09/2010,2959558
01/10/2010,2963744
01/11/2010,2966059
01/12/2010,2967266
01/01/2011,2970217
01/02/2011,2973045
01/03/2011,2971931
01/04/2011,2967573
01/05/2011,2964729
01/06/2011,2962996
01/07/2011,2957856
01/08/2011,2954545
01/09/2011,2951925
01/10/2011,2947436
01/11/2011,2946392
01/12/2011,2950402
01/01/2012,2954139
01/02/2012,2958872
01/03/2012,2961914
01/04/2012,2961730
01/05/2012,2968421
01/06/2012,2970447
01/07/2012,2970516
01/08/2012,2974369
01/09/2012,2971174
01/10/2012,2972842
01/11/2012,2974668
01/12/2012,2968567
01/01/2013,2970459
01/02/2013,2968066
01/03/2013,2964926
01/04/2013,2967596
01/05/2013,2970228
01/06/2013,2969832
01/07/2013,2973534
01/08/2013,2977216
01/09/2013,2980885
01/10/2013,2986059
01/11/2013,2985753
01/12/2013,2988281
01/01/2014,2985275
01/02/2014,2983421
01/03/2014,2983819
01/04/2014,2988491
01/05/2014,2991322
01/06/2014,2994801
01/07/2014,3000908
01/08/2014,3001678
01/09/2014,3006830
01/10/2014,3013226
01/11/2014,3014622
01/12/2014,3025656
01/01/2015,3032741
01/02/2015,3036012
01/03/2015,3040605
01/04/2015,3046686
01/05/2015,3051288
01/06/2015,3058403
01/07/2015,3066722
01/08/2015,3070100
01/09/2015,3077502
01/10/2015,3080827
01/11/2015,3088219
01/12/2015,3095372
01/01/2016,3101553
01/02/2016,3107344
01/03/2016,3114474
01/04/2016,3121310
01/05/2016,3128443
01/06/2016,3134860
01/07/2016,3141648
01/08/2016,3148652
01/09/2016,3155601
01/10/2016,3162742
01/11/2016,3169053
01/12/2016,3174407
01/01/2017,3177328
01/02/2017,3179961
01/03/2017,3183157
01/04/2017,3186368
01/05/2017,3189660
01/06/2017,3192959
01/07/2017,3196365
01/08/2017,3199710
01/09/2017,3202883
01/10/2017,3206161
01/11/2017,3209166
01/12/2017,3212346
01/01/2018,3214482
01/02/2018,3216597
01/03/2018,3218959
01/04/2018,3221222
01/05/2018,3223671
01/06/2018,3226029
01/07/2018,3228452
01/08/2018,3230883
01/09/2018,3233105
01/10/2018,3235599
01/11/2018,3237913
01/12/2018,3240325
01/01/2019,3242106
01/02/2019,3243693
01/03/2019,3245525
01/04/2019,3247374
01/05/2019,3249306
01/06/2019,3251145
01/07/2019,3253012
01/08/2019,3254816
01/09/2019,3256668
01/10/2019,3258431
01/11/2019,3260032
01/12/2019,3261771
